row_index,tuna_selected_31k_seed20260803_score,tuna_selected_31k_seed20260817_score,tuna_selected_31k_seed20260831_score,tuna_selected_31k_score
318,-7.722623348236084,-6.550647735595703,-6.9953694343566895,-7.089546839396159
319,-7.242526531219482,-7.484882354736328,-8.109994888305664,-7.612467924753825
320,-7.0913214683532715,-7.449960708618164,-6.4019455909729,-6.981075922648112
321,-6.036789417266846,-4.870666980743408,-6.180379390716553,-5.6959452629089355
322,-6.091773986816406,-7.013179779052734,-6.060829162597656,-6.388594309488933
323,-5.911455154418945,-7.845160007476807,-5.800833225250244,-6.519149462381999
324,-6.545254230499268,-7.509432315826416,-5.828516960144043,-6.627734502156575
325,-6.6044020652771,-5.999245643615723,-6.590731620788574,-6.398126443227132
326,-4.583588123321533,-5.50799036026001,-3.945449113845825,-4.679009199142456
327,-3.3046867847442627,-5.5627570152282715,-4.744208335876465,-4.537217378616333
328,-6.175521373748779,-5.860437870025635,-6.403759479522705,-6.146572907765706
329,-5.912663459777832,-5.176652431488037,-4.783820629119873,-5.291045506795247
330,-5.839649677276611,-6.349027156829834,-5.334888935089111,-5.8411885897318525
331,-6.98089599609375,-5.25485372543335,-5.1194562911987305,-5.78506867090861
332,-4.680772304534912,-5.752212047576904,-5.559831142425537,-5.330938498179118
333,-5.7257399559021,-6.902194499969482,-5.946349620819092,-6.191428025563558
334,-6.129070281982422,-6.094127655029297,-4.676689147949219,-5.6332956949869795
335,-6.711750507354736,-6.140232563018799,-7.1666436195373535,-6.67287556330363
336,-2.855989694595337,-4.475603103637695,-4.124953746795654,-3.8188488483428955
337,-6.00507116317749,-6.683927536010742,-6.033546447753906,-6.240848382314046
338,-4.913187026977539,-4.332475185394287,-4.8022918701171875,-4.682651360829671
339,-7.086360931396484,-6.459420680999756,-6.6002678871154785,-6.715349833170573
340,-6.765968322753906,-6.8710713386535645,-5.093481540679932,-6.243507067362468
341,-6.321023464202881,-6.553786277770996,-7.362855911254883,-6.745888551076253
342,-7.7706708908081055,-7.079716205596924,-6.932132244110107,-7.260839780171712
343,-7.055787563323975,-5.88425350189209,-4.272148132324219,-5.737396399180095
344,-4.0730485916137695,-4.344625473022461,-4.603072643280029,-4.340248902638753
345,-5.236519813537598,-7.291050910949707,-5.523821830749512,-6.0171308517456055
346,-4.528369426727295,-5.004914283752441,-4.836324214935303,-4.78986930847168
347,-5.959846019744873,-6.593173027038574,-5.414244651794434,-5.98908789952596
348,-4.691122055053711,-5.458211898803711,-4.313802242279053,-4.821045398712158
349,-7.337979316711426,-5.993754863739014,-4.71310567855835,-6.014946619669597
350,-7.827885150909424,-6.647972583770752,-6.079189777374268,-6.8516825040181475
351,-5.630191326141357,-5.737263202667236,-4.384669303894043,-5.250707944234212
